港澳频道,#genre#
1900影剧室,http://huanqiuzhibo.cn/manifest/douyu.php?id=7796193
1905电影网,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
1905电影网A,http://php.jdshipin.com/1905.php
1905电影网（国内）,http://8.138.7.223/tv/1905.php?id=LIVEOYY31H24H48NE
1905国内电影台,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905国外电影台,http://php.jdshipin.com:8880/1905.php?id=1905dy2
AMC电影台,http://hk.mushui.tk/mqlive/live.php?ip=211.75.236.187&url=http://211.75.236.187:5003/live1032.m3u8
AMC电影台,http://hk.mushui.tk/mqlive/live.php?ip=218.32.247.100&url=http://218.32.247.100:5003/live1032.m3u8
AMC电影台,http://hk.mushui.tk/mqlive/live.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1438.m3u8
AMC电影台,http://hk.mushui.tk/mqlive/live.php?ip=60.250.121.103&url=http://60.250.121.103:5003/live1032.m3u8
AMC电影台,http://hk.mushui.tk/mqlive/live.php?ip=60.250.121.217&url=http://60.250.121.217:5003/live1438.m3u8
AMC电影台,http://hk.mushui.tk/mqlive/live.php?ip=61.216.180.81&url=http://61.216.180.81:5003/live1032.m3u8
AMC电影台,http://hk.mushui.tk/mqlive/live.php?ip=61.216.26.165&url=http://61.216.26.165:5003/live1032.m3u8
AMC电影台,http://hk.mushui.tk/mqlive/live.php?ip=61.216.26.165&url=http://61.216.26.165:5003/live2023.m3u8
AMC电影台,http://hk.mushui.tk/mqlive/live.php?ip=61.220.72.26&url=http://61.220.72.26:5003/live1032.m3u8
AMC电影台,http://hk.mushui.tk/mqlive/live.php?ip=61.63.19.241&url=http://61.63.19.241:5003/live1032.m3u8
AXN电影台,http://pullpackage.alivecdn.com/live/29tIFCyC4BMkmhWA3mwKGNep2yAoDsJgqOMnhTcah84kP7az3x.flv
ELta影剧台,http://pullpackage.alivecdn.com/live/0wMCxCM1oSG6URf0N4REZ8mppQsZ7yp5sJgqO7DB1aSWOZqkmg.flv
EYE戏剧台,http://php.666230.xyz/smt.php?id=eyetvxiju_twn
EYETV戏剧台,https://live.catvod.com/live.php?id=eyetvxiju_twn&token=e2ae7dc1b3ce7178f8cfeba68c0f8c5ec70bc03d5f97231d465b52648eb704ee%3A1766453072%3AMjAuMTYxLjY3LjIxMA%3D%3D
JStar极限电影台,http://u9v.cn/5FZsLd
NOW爆谷星影,https://bxtv.3a.ink/api.php?id=xingying
NOW星影,http://bxtv.3a.ink/api.php?id=xingying
TVB翡翠剧集,http://iptv.4666888.xyz/iptv2A.php?id=72
TVB翡翠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9478&tk=97475bb89d45
TVB黄金华剧,http://iptv.4666888.xyz/iptv2A.php?id=80
