央视频道,#genre#
CCTV4K超高清,http://183.236.43.98:4013/udp/239.77.0.194:5146
CCTV4K超高清,http://183.236.43.98:4013/udp/239.77.0.174:5146
CCTV4K超高清,http://113.119.25.140:58888/udp/239.77.0.194:5146
CCTV4K超高清,http://113.119.25.140:58888/udp/239.77.0.174:5146
CCTV4K超高清,http://106.59.2.169:55555/rtp/239.200.200.202:8784
CCTV怀旧剧场,http://183.236.43.98:4013/udp/239.253.43.5:5146
CCTV怀旧剧场,http://113.119.25.140:58888/udp/239.253.43.5:5146
CCTV怀旧剧场,http://118.78.196.227:55555/rtp/226.0.2.224:9704
CCTV怀旧剧场,http://106.59.2.169:55555/rtp/239.200.200.85:8032
CCTV风云剧场,http://183.236.43.98:4013/udp/239.253.43.16:5146
CCTV风云剧场,http://113.119.25.140:58888/udp/239.253.43.16:5146
CCTV风云剧场,http://118.78.196.227:55555/rtp/226.0.2.227:9728
CCTV风云剧场,http://36.49.51.207:8800/rtp/239.37.0.114:5540
CCTV风云剧场,http://106.59.2.169:55555/rtp/239.200.200.84:8016
CCTV第一剧场,http://183.236.43.98:4013/udp/239.253.43.15:5146
CCTV第一剧场,http://113.119.25.140:58888/udp/239.253.43.15:5146
CCTV第一剧场,http://118.78.196.227:55555/rtp/226.0.2.221:9680
CCTV第一剧场,http://106.59.2.169:55555/rtp/239.200.200.82:8004
CCTV风云音乐,http://183.236.43.98:4013/udp/239.253.43.6:5146
CCTV风云音乐,http://113.119.25.140:58888/udp/239.253.43.6:5146
CCTV风云音乐,http://118.78.196.227:55555/rtp/226.0.2.220:9672
CCTV风云音乐,http://106.59.2.169:55555/rtp/239.200.200.86:8008
CCTV兵器科技,http://183.236.43.98:4013/udp/239.253.43.9:5146
CCTV兵器科技,http://113.119.25.140:58888/udp/239.253.43.9:5146
CCTV兵器科技,http://118.78.196.227:55555/rtp/226.0.2.223:9696
CCTV兵器科技,http://106.59.2.169:55555/rtp/239.200.200.91:8036
CCTV风云足球,http://183.236.43.98:4013/udp/239.253.43.14:5146
CCTV风云足球,http://113.119.25.140:58888/udp/239.253.43.14:5146
CCTV风云足球,http://118.78.196.227:55555/rtp/226.0.2.225:9712
CCTV风云足球,http://106.59.2.169:55555/rtp/239.200.200.88:8020
